Title,Price,what_you_learn,Slug,instructor
Art of Baking A Cake,84,"To provide participants with a solid foundation in baking techniques and principles.To teach participants how to create a wide range of cake types, flavors, and designs.To develop participants' understanding of ingredient selection, measurement, and proper usage.To introduce participants to cake decoration and designTo foster participants' creativity in designing and decorating cakes for various occasions.",art-of-baking-a-cake-3bWx,Effat Ara Jahan
Cyber Threats and Protection in the International Context,80,"Enhance your cybersecurity skills for real-world protection against digital threats.Understand international cyber dynamics and legal frameworks for a comprehensive defense strategy.Stay ahead by grasping emerging technologies, preparing to tackle future cyber challenges effectively.Contribute to global security by applying knowledge in legalities, collaboration, and best practices.",cyber-threats-and-protection-in-the-international-context-fbjb,Amrin Akter
A Beginner's Guide to Version Control,85,"Understand the fundamentals of Git version control systemCreate, configure, and manage Git repositoriesUse Git to track changes and collaborate with others on software projectsBranch and merge Git repositories to manage changes effectivelyResolve conflicts that arise during Git mergesWork with remote repositories and push/pull changes to/from themUse Git to improve your software development workflow and increase productivityApply best practices for using Git in software development projectsOverall, this course will provide you with the essential knowledge and skills needed to start using Git for version control and collaboration in your software development projects.",git-simplified-a-beginners-guide-to-version-control-t6UC,Tanvirul Islam
Database management system in 1 hour,82,Understand the fundamental principles of database management systems.Master SQL basics for efficient data manipulation and retrieval.Learn essential techniques for optimizing database performance.Gain practical skills in data handling and normalization.Acquire knowledge of key concepts necessary for effective database administration.,database-management-system-in-1-hour-1NTp,Taslima Ferdaus Shuva
Introduction to understanding data,79,"Learners will have the skills to collect, clean, and make data ready for analyzing data, as well as to communicate their findings effectively through data visualization.Learners will gain a comprehensive understanding of data fundamentals, including its types, sources, and characteristics.Moreover, students will develop critical skills in interpreting and communicating data insights effectively, enabling them to make informed decisions based on evidence.This foundational knowledge will empower students to make informed decisions, whether they are entering a data-related career, enhancing their current job prospects, or simply becoming more data-savvy in their personal and professional lives.",introduction-to-understanding-data-2CE8,Atia Sanjida Talukder
Introduction to Natural Language,70,"Learn the fundamentals of Natural Language Processing (NLP) and why it's important in today's world of technology and communication.Gain hands-on experience in text processing, classification, and sentiment analysis to extract valuable insights from written content.Dive into advanced areas where NLP meets Deep Learning, discovering how neural networks enhance language understanding and generation.Understand the ethical considerations surrounding NLP applications and learn to deploy language technologies responsibly for positive societal impact.",introduction-to-natural-language-1tLb,Rakhi Moni Saha
Fundamentals of Computer Maintenance,72,Understand the importance of computer maintenance and its impact on system performance and longevity.Learn how to optimize storage by utilizing disk cleanup and defragmentation techniques to improve disk efficiency and overall system speed.Gain proficiency in process optimization by managing startup apps and services to enhance system boot time and resource utilization.Explore power optimization strategies such as configuring Windows power plans to maximize energy efficiency and prolong battery life on laptops.Develop skills in system monitoring using both built-in and third-party tools to track system performance metrics and identify potential issues proactively.,fundamentals-of-computer-maintenance-JohM,Partha Dip Sarkar
Fundamentals of Software Requirement Engineering,97,"Understand the Role of Requirements: Grasp the vital role that requirements play in the software development process and their impact on project success.Gather and Document Requirements: Acquire the ability to collect, document, and manage software requirements systematically.Modeling Techniques: Gain expertise in utilizing various modeling techniques to represent requirements, making complex concepts more understandable.Prioritization Expertise: Develop proficiency in prioritizing requirements, enabling the allocation of resources to critical project elements.Validation and Verification: Understand methods for validating and verifying requirements, ensuring that software systems meet the expectations of both clients and end-users.Practical Application: Engage in hands-on experiences through real-world case studies, practical exercises, and collaborative activities, enhancing proficiency in requirements analysis and documentation.",fundamentals-of-software-requirement-engineering-Gc1P,Tapushe Rabaya Toma
Unlocking Regular Expression Conversions in Finite Automata,85,Understand the core principles of automata theory and its historical context.Analyze and design finite automata for recognizing regular languages.Differentiate between DFA and NFA and convert between them.Apply automata theory to practical problems in computer science.Demonstrate problem-solving skills related to automata theory.Appreciate the broader context of formal language theory and its applications in computer science.,unlocking-regular-expression-conversions-in-finite-automata-QsMa,Fatama Binta Rafiq
Introduction to Machine Learning: A Roadmap to Beginner,57,"Gain a strong foundational understanding of machine learning concepts and types. Develop data preprocessing skills, including data collection, cleaning, and exploratory data analysis. Build and evaluate machine learning models for regression and classification tasks. Explore unsupervised learning techniques for clustering and dimensionality reduction. Understand advanced topics like ensemble learning, deep learning, and computer vision. Learn how to deploy machine learning models and consider ethical implications. Apply knowledge and skills in a practical capstone project, showcasing problem solving abilities using machine learning.",introduction-to-machine-learning-a-roadmap-to-beginner-FJko,Mr. Dipto Biswas
Mastering Software Testing and Quality Assurance: From Fundamentals to Emerging Trends,99,"Understand fundamental principles and methodologies of software testing.Explore advanced testing strategies, automation, and emerging trends.Develop proficiency in various testing techniques, including black-box, white-box, and exploratory testing.Learn to plan, execute, and manage comprehensive test suites and frameworks.Acquire hands-on experience with industry-standard testing tools and technologies.Gain insights into quality assurance best practices and their integration into software development processes.",mastering-software-testing-and-quality-assurance-from-fundamentals-to-emerging-trends-Vc77,Ms. Munira Tabassum Mou
Signal Symphony: Understanding the fundamentals of Data Communication,67,"Gain an in-depth understanding of data communication principles, including protocols, data flow and transmission medium.Explore the fundamentals of networking, covering topics like network categories, topologies, networking criteria.Achieve mastery in the efficient encoding and transmission of digital data.Acquire a detailed insight into IP addressing",signal-symphony-understanding-the-fundamental-of-data-communication-C5YD,Nadira Islam
Object Oriented Programming for Newbies,80,"Explain OOP principles: Understand classes, objects, inheritance, encapsulation, and polymorphism.Apply OOP concepts: Develop basic software using OOP in languages like Java or Python.Create classes and objects: Define attributes and behaviors for classes and objects.Implement inheritance: Use superclasses and subclasses to create class hierarchies.Use encapsulation to protect data and methods from external access.Implement polymorphism: provide different behaviors for objects of the same class.Test and debug software: Ensure the correctness of software applications through testing and debugging.",object-oriented-programming-for-newbies-65WO,Raiyan Janik Monir
An Introduction to Water Pollutants,86,Understand the various sources and types of water pollutants.Learn methods for sampling and analyzing water pollutants.Explore the effects of water pollutants on ecosystems and human health.Gain insights into regulatory frameworks and standards related to water pollution control.Develop skills to implement effective strategies for mitigating water pollution.,an-introduction-to-water-pollutants-2ilC,Md. Azharul Haque Chowdhury
R-programming in Environmental Engineering,94,Utilize R programming for water quality data analysis.Create impactful graphs for research.Apply knowledge in real-world scenarios.Enhance problem-solving with practical exercises.Deep understanding of water quality parameters.Accurate interpretation of environmental data.Develop skills for impactful environmental research.Emphasize research-oriented approach using R.,r-programming-in-environmental-engineering-k0hv,Md. Masud Alom
WP Training Kit Upgrade Package,56,Master the creation and editing of posts using both the new and classic WordPress editors.Understand and navigate the WordPress dashboard for efficient site management.Learn to add and manage media in the WordPress library for visually appealing content.Explore and customize WordPress themes for a personalized website appearance.Leverage WordPress plugins to enhance site functionality effectively.,wp-training-kit-upgrade-package-Pi6G,International Online University
Introduction to AutoCAD Basic Commands,96,"The primary objective of this courseware is to teach the student the basic commands necessary for professional 2D drawing, design, and drafting using AutoCAD. Upon completion of the course, the student will: Become familiar with the AutoCAD user interface.In this course, the instructor will basic commands for AutoCAD v. 2022 software.",introduction-to-autocad-basic-commands-0TwL,Mr. Saurav Barua
WP Training Kit,67,"Understand domain purchase, hosting, and site redirection.Learn cPanel basics for effective site management.Master creating and managing email accounts via cPanel.Learn to install WordPress manually and through cPanel.Apply concepts through practical, real-world scenarios.",wp-training-kit-pcye,International Online University
Bing to Riches,80,Understand the significance of Bing in the digital marketing landscape.Learn the fundamentals of Bing Ads and how they operate on both PC and mobile devices.Acquire the skills to create an effective PPC campaign on the Bing platform.Explore advanced strategies and features within Bing Ads for more sophisticated campaigns.Master the principles of SEO tailored specifically for Bing and its unique algorithms.,bing-to-riches-uvN2,International Online University
Social Success,68,Learn to be present on multiple social platforms for maximum visibility.Discover strategies for growing and engaging your Twitter audience.Build a massive YouTube following with effective content creation strategies.Increase your Facebook fan count and boost your presence on the platform.Seamlessly link your social media efforts with your blog for cohesive online success.,social-success-1NEh,International Online University
WorkoutPedia,61,"Understand the unique challenges and advantages of home workouts.Learn how to create an effective home gym tailored to individual fitness goals.Gain insights into the principles of muscle growth and the science behind effective training.Explore intensity techniques to maximize workout effectiveness and unlock full physical potential.Acquire knowledge and techniques for comprehensive home-based training, including leg workouts, bodyweight exercises, and cardio for weight loss.",workoutpedia-tdeH,International Online University
Easy Instagram Cash,84,Understand Instagram's features and its unique position in social media.Learn effective strategies for building a compelling brand or lifestyle on Instagram.Maximize the impact of a single URL on your Instagram profile.Acquire skills to effectively sell products or services on the platform.Master the creation and monetization of sponsored posts on Instagram. ,easy-instagram-cash-wqpv,International Online University
Social Media Marketing Manager,89,"Learn how to navigate and leverage the Facebook algorithm to increase organic reach and engagement.Formulate a strategic approach to Twitter, considering brand voice, content types, and frequency of posts.Acquire video production skills and understand the essentials of creating engaging and shareable content for YouTube.Understand the historical significance of MySpace and its role in the evolution of social media.﻿Understand the unique features of Digg and StumbleUpon as content discovery platforms.",social-media-marketing-manager-hehk,International Online University
ICT Skill Booster for University Students,50,"Communicate confidently online using popular digital toolsBegin with the basics of creating Microsoft Word documents.Share Drive files easily with their organization and also others.Design properly PowerPoint /Google slides.Proactive in teamwork with online documents for eg. Google sheets, Docs, and Forms.Maintain Docs and can present it decoratively.Professional in Email communication.Take the online survey.Make their own Quality Full Assignment Cover page.Broadcast any TV show or webinar. Eg. OBS studio.Presenting him/herself to the world through their website eg. Google Sites.Make tutorials, and edit them with video editing software.",ict-skill-booster-for-university-students-VORi,Dm. Mehedi Hasan Abid
Professional Video Editing with Smartphone,57,"Creating Professional Videos Effectively on Their SmartphoneNo previous video experience is required. No technical knowledge is needed. This course will walk you through every step.This course shows you the gear, apps, and techniques to quickly make great videos and short films using a smartphone.Discuss problems in the course forumGet a certificate upon course completion",professional-video-editing-with-smartphone-RIMC,Dm. Mehedi Hasan Abid
C Programming Language: Getting Started,88,"The fundamentals of programming – from the ground upHow to program on WindowsThe nitty-gritty details of the C languageUse the source code examples to learn step-by-stepUnderstand the special features of C: header files, null-terminated stringsVideos explain everything in minute detail",c-programming-language-getting-started-hrPe,Dm. Mehedi Hasan Abid
Stress Annihilator,89,Distinguish Between Stress and AnxietyComprehend the Science Behind Panic AttacksThe science behind stress and anxietyProven solutions for decreasing stressUsing visualizations to overcome stress,stress-annihilator-QZev,International Online University
Start with Clarity,55,Define the importance of starting with clarity in personal and professional endeavors.Recognize the signs of lack of clarity and focus in one's life.Understand the benefits of living a meaningful life with a clear sense of purpose.Learn practical techniques and practices to enhance clarity and focus.Develop strategies for reclaiming and maintaining clarity and focus in various aspects of life.,start-with-clarity-3Vb2,International Online University
Automated Viral List Building,72,Understand the fundamentals of automated viral list building.Identify the different types of customer lists and their significance.Learn the formula for creating high-value thank-you offers (TY offers).Gain insights into finding and analyzing vendors to leverage in list building.Master the process of creating quality TY offers and building lists through vendors and affiliates.,automated-viral-list-building-pFg5,International Online University
Authority Blog Magician,83,Niche Selection MasteryBuilding Long-lasting Authority BlogsCompetitor Analysis for Blog SuccessCreating High-Impact Blog PostsEffective Use of Blogging Platforms,authority-blog-magician-ViRy,International Online University
Fountain of Youth,73,"Define aging and anti-aging concepts, debunk common myths, and recognize signs of premature aging.Explore factors accelerating aging, learning avoidance strategies.Discover methods to preserve a youthful appearance, emphasizing mental health and physical activities.Summarize the key principles of maintaining youthfulness through a holistic approach.Understand the benefits of youthfulness and good health.",fountain-of-youth-vMgP,International Online University
FB Ads on Track,81,"Understand the functionalities and features of Facebook Business Manager.Gain proficiency in installing and utilizing the Facebook Ad Pixel.Understand the significance of standard events in tracking user actions.Create and implement an Email Funnel for lead generation and nurturing.Learn the art of A/B testing for ad creatives, copy, and audience targeting.",fb-ads-on-track-or2Y,International Online University
Content Publishing on Social Media,69,Analyze Your AudienceWhat Kind of Image Inspire ThemAuto SchedulingWhere Do They HangoutEfficient Content Creation,content-publishing-on-social-media-MNPO,International Online University
Effective Employability Skills for the 21st Century,79,"Develop a clear and meaningful understanding of Employability skills theory, functions and practices.Equip with the knowledge, skills, Attitude and tools necessary for gaining the initial Job or personal business.Apply contemporary Employability- Soft Skills concepts and skills across a variety of contexts, situations and incidents.Understand and ensure the 'key competencies', career advice and about the world of work which are embedded in this course.Understand and establish the role and value of Employability skills in the success of modern organizations.Identify and develop the necessary skills to maintain a job or business and make 'transitions' between jobs and roles within the same organization to meet new job requirements.Obtain new employment or start a small business if required.Learn the soft skills tools and techniques that are used by firms to plan, design, implement and evaluate workplace activities.Create the self-assessment and Career MappingDevelop necessary skills needed to resolve workplace problems, and practice good soft skills implementation for organizational benefit.Gain and apply the confidence to be independent in the job market Understand, explain and apply the most important transferable soft skills and hard skills for every job sector of the world.Develop 21st century report-writing, presentation and communication skills and critical thinking abilities.Study and work independently as well as within a team.Active listening and participation in class, maintaining an amiable but respectful relationship with classmates.Generate ideas, being responsive and proactive, maintaining positive attitude and morality.Develop and create business communication tools and Personal branding tools for everyday internal and external communicationDemonstrate the Attitude, Skills and knowledge to ensure a job through internships. Attend and Win interviews confidently. ",effective-employability-skills-for-the-21st-century-u9z6,Mohammad Ariful Islam
HIIT It Hard,84,"How to maximize your results with kettlebellsHow to do cardio the HIIT way for faster, better resultsHow to workout less and lose more fat and gain more muscleHow to build a basic level of fitnessDive into advanced HIIT protocols, exploring intricate workout structures that challenge both body and mind.",hiit-it-hard-whWH,International Online University
The Lost Art of Being Present,94,How to be more present in your lifeHow to significantly reduce your stress levels so that you can be happierWhat to do instead of wasting your time on digital platformsHow the little-known concept of Hygge can help you be more mindfulIntegration of Mindfulness into Physical Activities,the-lost-art-of-being-present-UEu2,International Online University
Fundamental of T-shirt Design using Adobe Illustrator,79,Adobe Illustrator Skills: Master tools for T-shirt design.Design Principles: Learn effective T-shirt design.Typography Mastery: Use fonts creatively.Vector Art Techniques: Create vector artwork.Resource Utilization: Enhance designs with free resources.,fundamental-of-t-shirt-design-using-adobe-illustrator-AipP,Afroza Rahman Asha
Power Mass Blueprint,99,Workout Routines for Increasing Muscle MassDiet for Increasing Muscle MassCardio for Muscle BuildingBest Fitness Apps to Measure ProgressStrategize Supplementation for Muscle Mass,power-mass-blueprint-nCSa,International Online University
Fit in 15,69,The Real True About Fat LossLift for a Lean BodySustainable Diet ExplainedFlexible Dieting and Nutrition PlanSupplements that Work,fit-in-15-DwY6,International Online University
High Ticket Clients Secrets,54,What it Takes to Close High Paying ClientsHow to Identify and Qualify ClientsOvercoming Sales ObjectionsHow to Deliver Results After Payment Is MadeClient Qualification and Identification,high-ticket-clients-secrets-cTei,International Online University
How to make an amazing online course,88,"Learn strategies for selecting an engaging topic that resonates with your audience.Acquire skills to identify trends and gaps in online learning through market research.Develop proficiency in curating valuable, relevant content for your course.Learn the step-by-step process to craft a well-structured course outline.Understand best practices for organizing content to enhance student learning.Record high-quality audio and video using professional techniques.Gain practical skills in video editing for polished course materials.Learn to strategically price your course based on market factors and perceived value.",how-to-make-an-amazing-online-course-8UyJ,Dm. Mehedi Hasan Abid
YouTube Marketing 101,96,"Create a visually appealing and strategically optimized YouTube channel to attract and retain viewers.Develop high-quality, engaging content that resonates with your target audience and encourages subscriber growth.Uncover the secrets of YouTube's search algorithm and implement SEO techniques to enhance the discoverability of your videos.Foster a loyal community by understanding audience behavior, responding to comments, and building meaningful connections.Harness the power of YouTube Analytics to track performance, identify trends, and make data-driven decisions for continuous improvement.Explore various monetization avenues, from ad revenue to sponsorships, and turn your passion into a sustainable income stream.",youtube-marketing-101-DRtV,International Online University
Quality Management,80,Meaning of QualityTotal Quality ManagementCost of QualityThe Effect of Quality Management on ProductivityQuality Productivity Ratio (QPR),quality-management-Xe2o,Mahbub Parvez
Inventory Management,64,"Understand the role of inventory in Supply Chain Management and its impact on costs.Learn to determine optimal inventory orders using the EOQ model for efficient cost management.Explore the complete inventory management process, from ordering to stocktaking and order fulfillment.Develop quantitative skills for effective inventory management and informed decision-making.Gain insights into forecasting and customer behavior for sound decision-making in a dynamic business environment.",inventory-management-SKFg,Mahbub Parvez
JVZoo Funnels Made Easy,90,Learn to create effective sales funnels step by step.Implement advanced strategies for a seamless sales journey.Increase revenue with strategic upsells and downsells.Leverage affiliates effectively within the JVZoo platform.Apply learned concepts through practical case studies for tangible results.,jvzoo-funnels-made-easy-B0I1,International Online University
Investment for Startup,93,"Gain an understanding of the main sources of capital that founders of start-ups turn to when they raise capital to launch their business. Understand the available funding opportunities for your venture. Evaluate the source of funding and analyze them properly. Learn how to pitch your idea, test it, and create a prototype.",investment-for-startup-d0Ns,Dr. Md. Sabur Khan
Disabling Distraction,51,Develop effective time management skills for task prioritization.Explore mindfulness practices to reduce stress and enhance focus.Design work environments that minimize external disruptions.Manage digital presence and establish healthier tech habits.Build concentration through exercises and cognitive strategies.Learn to prioritize tasks aligning with overarching goals.Understand the drawbacks and focus on one task at a time.Develop mental resilience to bounce back swiftly.Integrate distraction management into daily routines for sustainable living.,disabling-distraction-Py0T,International Online University
Central Banks and Monetary Policy,80,"After completing this course, we shall be able to:Describe the concept of the Central Bank.Determine the Central Bank's objectives.Examine the Central Bank's functions.Examine the goal of monetary policy.Assess the credit control system.",central-banks-and-monetary-policy-4eKe,Farhana Akhter Asha
Fast Learner Blueprint,91,"Equip learners with advanced techniques and strategies to accelerate the acquisition of new skills and knowledge.Foster effective time management skills, enabling individuals to optimize study sessions and enhance overall productivity.Cultivate a mindset that embraces change, encourages adaptability, and promotes continuous learning in various contexts.Provide learners with tools and methodologies to improve memory retention, ensuring the effective recall of information in diverse learning scenarios.Develop critical thinking skills and problem-solving abilities, empowering individuals to navigate challenges with confidence and ingenuity.",fast-learner-blueprint-5kVk,International Online University
The Morning Ritual,70,5 Habits To Incorporate Into Your Mornings5 Reasons Why You Need a Morning RoutineHow to Stay Motivated Through Busy Mornings5 Things To Do At Night To Make Your Morning A BreezeOptimizing Preparation for Effortless Mornings,the-morning-ritual-6DxU,International Online University
Power of Self Reflection,92,"Uncover your core values, strengths, and areas for growth through targeted self-reflection practices.Integrate mindfulness into daily life with practical exercises for heightened awareness and stress reduction.Identify and challenge self-limiting beliefs to unlock your full potential for personal and professional success.Develop key emotional intelligence skills for improved communication, empathy, and relationship building.Transform insights into action with a personalized growth plan, setting clear objectives for continuous self-improvement.",power-of-self-reflection-1d93,International Online University
Role of Teachers in Higher Education in the Modern Era,67,"Learners' Learning Outcomes:What are the new age learning resources and how to evolve themHow do you seamlessly create blended means of delivering learning content to your learnersHow do you creatively engage your learners, whether in STEM or non-STEM disciplinesHow do you evaluate your learner from the start of a course till its final evaluationWhat are the various aspects that determine mentor-learner relations in today's timesWhat new-age skills and technologies does the mentor need to know beyond domain knowledge and expertise todayHow does the mentor help in creating a lifetime of impact on and social & career positioning for the learners",role-of-teachers-in-higher-education-in-the-modern-era-sfXy,Prof. Ujjwal K Chowdhury
Simple Social Media Content,77,Understanding Simple Social Content CreationAudience Analysis for Effective ContentIdentifying Shared InterestsMapping Audience Hangout PlatformsUtilizing Impactful VisualsLeveraging Compelling Language,simple-social-media-content-S1jM,International Online University
API Integration in Mobile Application Development Using Java,78,"After Completing this course audience will learn:How to Integrate Rest API in Android ApplicationOnline Database operation (Create, Retrieve, Update, Delete)Conditional Search and Receive Data from the DatabasePHP basic concept 5. List View 6. Database handling",api-integration-in-mobile-application-development-using-java-HJ7D,
Life Strategies,54,"Learn to identify and prioritize tasks for maximum impact on personal and professional growth.Acquire skills in setting and achieving meaningful goals, aligning them with your life aspirations.Develop practical techniques for decluttering and organizing both physical and digital spaces.Understand the art of effective delegation to streamline tasks and focus on high-impact activities.Explore and leverage smartphone apps and web tools to enhance organization and productivity.",life-strategies-KKKY,International Online University
Virtual Networking Success,68,Navigate virtual networking platforms with confidence.Strategic Relationship Building:Cultivate meaningful connections through effective communication.Craft a compelling online persona on platforms like LinkedIn.Leverage the latest networking technologies for efficiency.Set and evaluate measurable goals and KPIs for networking.,virtual-networking-success-fssW,International Online University
Techniques of CV and Cover Letter Writing,95,Identify the real purpose of a CV.Identify relevant competencies for a position.Write powerful and convincing accomplishment statements using your accomplishments inventory to strategically assemble the most relevant evidence of competency for a specific position.Use the CV skills tier method to strengthen your CV.Write summary sections and objective statements aligned to a job position.Take advantage of web resources to find power language for your CV.Produce a strong CV and cover letter in a format that is suitable both to your background and the position you're interested in.Produce strong cover letters to help you achieve your career goals.,techniques-of-cv-and-cover-letter-writing-vNpL,International Online University
Healthy Habits,51,Understanding Healthy HabitsOptimizing Lifestyle ChoicesEnhancing Daily Routines for Well-beingPromoting Health and FitnessImproving Sleep and Hydration for Wellness,healthy-habits-XJfI,International Online University
How to Write a Formal Email,61,This course will enable a writer to write in an organized format whatever s/he wants to express for professional communication by providing an opportunity to learn the etiquette of writing a formal email.The learner will learn how to write each section of an email understandably so that the email cannot create any miscommunication.By doing this course the learner will learn to write formal emails for academic and professional purposes.,how-to-write-a-formal-email-O6No,International Online University
Software Development Lifecycle- The Complete Guide,86,"What is SDLC What are the phases of SDLC and their working processLearn SDLC models: Waterfall model, Incremental model, Iterative model, V-shaped model, Spiral model, Agile modelThe working procedure of those modelsWhen and where we can use those modelsPros and cons of those models",software-development-lifecycle-the-complete-guide-qZE2,Umme Habiba
Super Brain Hacks,85,"Understand the basics of brain structure and function.Learn memory retention techniques used by champions.Apply effective recall strategies.Master methods for improved attention and problem-solving.Explore neuroplasticity for cognitive strength.Acquire strategies for rapid information absorption.Enhance comprehension and processing speed.Integrate mindfulness for focus and stress management.Explore connections between nutrition, sleep, and cognitive function.Develop practical stress management techniques.",super-brain-hacks-lPB8,International Online University
Setting Freedom Goals,82,"Define and refine individual ideas of freedom and personal aspirations.Understand the psychological principles behind effective goal setting.Develop a growth mindset for resilience and motivation.Create a compelling vision for the future.Develop a practical action plan with clear steps, timelines, and milestones.Explore strategies for financial freedom, including passive income and sound financial practices.Align goals with personal values through lifestyle design.Learn mindfulness practices for enhanced focus and overall well-being.",setting-freedom-goals-RLp9,International Online University
IELTS Reading Techniques,99,Generate overall ideas regarding the IELTS Reading SectionLearn how different types of reading comprehension questions workTips and tricks on how to manage a good score in the IELTS reading section,ielts-reading-techniques-6Mib,International Online University
Ecommerce with WooCommerce,82,Master WooCommerce for successful online commerce.Customize themes for an appealing store.Optimize product management techniques.Explore advanced strategies and automation.Gain hands-on experience for a functional online store.,ecommerce-with-woocommerce-xOBL,International Online University
Introduction to Accounting,52,Understand the activities of accounting.Understand the users of accounting data. Understand the assumptions of accounting. Understand the principles of accounting.Analyze the effects of transactions on the basic accounting equations. Prepare the financial statements.,introduction-to-accounting-8SJg,Dr. Sayed Farrukh Ahmed
The Real Law of Attraction Code,96,Gain a solid comprehension of the core principles underlying the law of attraction.Learn step-by-step techniques to effectively apply the law of attraction in various aspects of your life.Explore specific strategies for attracting money and wealth through the law of attraction.Develop resilience and learn how to navigate challenges and failures with a positive mindset.Discover and implement best practices for creating your individualized Law of Attraction Code for sustainable success.,the-real-law-of-attraction-code-87EV,International Online University
Academic Essay Writing (IELTS writing task II),63,"Providing learners with vivid ideas about what IELTS writing tasks are. Enabling them to understand the types and structures of Academic Essays. Enabling learners to identify how to outline an essay. Providing techniques for improving scores, and tips for planning a proper essay for writing task II. Producing sample questions with a possible briefing to make the learners more familiar.",academic-essay-writing-ielts-writing-task-ii-ipsk,Afsana Jerin Shayery
Social Media Marketing Made Easy,74,Learn core tactics for successful marketing.Create engaging posts that captivate your audience.Analyze data to assess strategy effectiveness.Focus on meaningful connections over follower count.Acquire practical skills for digital marketing success.,social-media-marketing-made-easy-Ttil,International Online University
Data Preprocessing With Python,58,Data preprocessing using pythonOne hot encodingLabel encodingData NormalizationDealing with missing valuesFeature scaling,data-preprocessing-with-python-oecm,International Online University
How to Become a Successful Social Media Influencer,56,Develop skills for creating engaging and high-quality content.Hone techniques for building a strong online community.Establish a unique and authentic online identity.Learn to collaborate effectively with brands.Utilize analytics for optimizing content strategies.,how-to-become-a-successful-social-media-influencer-JPgC,International Online University
Creating Low-Fidelity Wireframes,92,"Gain knowledge about what low-fidelity wireframes are and their significance in information architecture.Learn to create a basic one-page low-fidelity wireframe using traditional tools like paper, providing hands-on experience in wireframing.Practical Wireframing Skills.Explore the fundamentals of information architecture.Understand deceptive patterns in design, learning to identify and avoid elements that may mislead or confuse users.",creating-low-fidelity-wireframes-0ji8,International Online University
The Exciting World of Prompt Engineering,79,About the field of Prompt Engineering and its importance in artificial intelligence.Understand the fundamental elements and principles of prompts and their advanced techniques.Explore the various degrees of prompting and reverse engineering techniques.Gain knowledge of prompting levels and their impact on prompt performance.Discover the role of prompts in real-world applications such as website design and data science.Investigate how prompts can assist developers in building more effective applications and optimizing data science workflows.Insights into future possibilities in the field of prompt engineering and emerging trends in AI.,the-exciting-world-of-prompt-engineering-JBKI,Md. Shohel Arman
ChatGPT Introduction for Teaching and Learning,84,What ChatGPT is and how it can be used in education.Different ways to use ChatGPT to enhance teaching and learning.Ethical considerations when using AI in education.How to integrate ChatGPT into teaching and learning.Skills to use AI in education ethically and responsibly.,chatgpt-introduction-for-teaching-and-learning-NfOG,Nuruzzaman Faruqui
Introduction to Data Structure,59,"Acquire a solid grasp of the basic concepts of Data Structures and algorithms.Develop skills essential for cracking interviews at top product-based companies.Learn how to write optimized code through a comprehensive understanding of Data Structures.Master the art of designing algorithms, enhancing your problem-solving skills.Build a strong foundation in Data Structures, laying the groundwork for advanced programming techniques.",introduction-to-data-structure-ASoQ,Rakhi Moni Saha
Overcome Phone Addiction,85,Learn five crucial habits for a balanced phone relationship.Discover enjoyable distractions from excessive phone use.Reduce phone usage with practical time-management strategies.Recognize signs of phone addiction for mindful technology use.Reconnect with the real world through intentional breaks and unplugging.,overcome-phone-addiction-fkdX,International Online University
The Magic of Starting Over,86,Cultivate confidence in navigating new beginnings.Learn to move forward without being hindered by the past.Break free from negative thoughts to unlock potential.Turn setbacks into strength for a more robust future.Proactively shape a better future with strategic planning.,magic-of-starting-over_up-uU9h,International Online University
Digital Nomad Lifestyle,86,"Clarify the realities and dispel myths surrounding the digital nomad lifestyle.Equip participants with skills for successful freelance work, fostering income generation on the go.Provide actionable insights into monetizing blogs and utilizing affiliate marketing for sustainable income.Introduce essential tools for optimal productivity in a location-independent work environment.Guide participants in creating residual income streams while embracing the freedom of a digital nomad lifestyle.",digital-nomad-lifestyle-Qy4H,International Online University
WordPress Website Security,100,Strengthen your WordPress site against online threats.Recognize and eliminate common vulnerabilities.Implement Two-Factor Authentication for user security.Learn practical strategies for secure hosting and plugin use.Enhance overall site defense with key preventive measures.,wordpress-web-security-nmRN,International Online University
Conquering Fear,85,"    Understanding Fear: Define, identify symptoms, and explore causes.    Conquering Unique Fears: Address common and specific fears, like Chrometophobia.    Building Confidence: Implement strategies for boosting self-esteem.    Inner Critic Management: Learn to silence self-doubt and negativity.    Goal Achievement: Acquire practical tools for turning dreams into reality.",conquering-fear-5tKe,International Online University
Smart CPA Offers,60,"Master the core principles of CPA marketing.Learn techniques to enhance approval rates with CPA networks.Explore effective strategies for selling traffic to CPA networks.Understand the potential of diverse traffic sources, including Pop Ads.Gain hands-on experience for real-world success in CPA marketing.",smart-cpa-dQkN,International Online University
Professional E-mail Writing Tips and Tricks,71,Proper email communication strategyWhat to do and What not to doTypes of emailEmail Writing Tips and Tricks,professional-e-mail-writing-tips-and-tricks-LGBF,International Online University
Supply Chain Management,65,Understand fundamental concepts of supply chain management. Apply knowledge to evaluate and manage an effective supply chain Develop a sound understanding of the important role of supply chain management in today’s business environment.Become familiar with current supply chain management trends. ﻿Helps career development & improves job possibilities.,supply-chain-management-rjVi,Dewan Golam Yazdani Showrav
Introduction to UX Design: Wireframing,56,"Acquire foundational UX design knowledge and skills, including user-centered design principles and proficiency in FIGMA.Develop practical application skills through a guided project, transforming problem and goal statements into a storyboard using provided templates.Prepare for a career in the high-demand UX design field, positioning yourself to meet industry needs and become a professional UX designer.User-Centered DesignDesign Sprint Stages StoryboardingCreating a Storyboard",introduction-to-ux-design-wireframing-VNk7,International Online University
