Question,Answer,URL,Other Info
How to complete the course  registration? (For new Students),"Collect your account clearance by paying the  registration fees/Admission fees in the Accounts  Section.  


 Submit the filled up Student Insurance Form (given  during the admission) and the account clearance to  the Coordination Officer of the Department Office. 


 When the registration is done by the department  Office, you have to check the student portal to  confirm your registration.  




(
http://studentportal.diu.edu.bd/login
).",,
How to complete the course registration? (For existing Students),"Collect your account clearance by paying the  registration fees from the Accounts Section.  


Submit it (keep a photocopy) to the batch advisor in  your department. He/she will complete your course  registration as per the rule. 


After the completion, you have to check the student  portal to confirm the completion of course  registration.",,
How can I Change/ Add/Drop courses after the registration?,"After the registration, you may be able to  Change/Add/Drop any course within 7 days after the last  date of the registration. Contact your batch coordinator.",,
What can I do to drop the  semester? (before registration),"In case of a specific reason, if you could not pay your  registration fees and did not complete the registration,  then you must drop the semester in the student portal.",,
What can I do to drop the  semester? (before registration),"In case of a specific reason, if you could not pay your  registration fees and did not complete the registration,  then you must drop the semester in the student portal.",,
What can I drop my   semester? (after registration),". Write an application (describing specific reason)  to the Dean through the Head of the Department  within 2 weeks of the last date of registration. 




 If the Head and Dean approve, then you need to  submit the copy of the approval to the Registrar  Office for final approval.  


 One week later you need to check the student  portal and/or contact the department office to  confirm the semester drop.",,
I am a student of the previous  syllabus. Shall I do my   registration with the previous  course code or will I register  with the new course code?,Students of previous syllabus can do registration with  previous syllabus with an application to the Head of the  department.,,
What can I do for registration  when the registration date is  over?,"Submit an application (describing the reason) to the  Registrar through the Batch Advisor, Head and Dean for  approval by mentioning your course code, course title,  credit and section.",,
I have already dropped three  or more semesters (without  informing). Now I want to  continue my study.,Re-admission form need to fill up to continue if you have  dropped 2 or more semesters. To collect re-admission  form you may contact with your department office.,,
How to take extra courses in a  semester?,Students may apply to the Dean through the Head of the  department describing the name and credits of courses  to be taken.,,
How can I extend registration  duration for more than six  years?,Submit an application (describing the reason) to the  Registrar through Head and Dean. A draft transcript  needs to be attached with the application.,,
How can I login in my student  portal?,"First you need to login you email 


Then go to the student portal in university  website 


Click to the forget password and put your  email 


A link will go to the email address 


Click to the link and give you password as  required 


Now go to the student portal and give your  email, password and captcha code for login",,
How can I login to my student  mail account?,"Go to the gmail account (first time from pc) Put your mail address and password 


Accept the all terms and condition of gmail 


Then login",,
How much I need to pay in my  Midterm or Final  examination?,"Login to your student portal first 


Go to the payment ledger option 


Check your payable amount 


Pay half of the amount showing in the payable in  your Midterm or Final Exam",,
How can I complete my  Teaching Evaluation?,"Login to your student portal first 


Go to the Teaching Evaluation option 


Select the semester 


Click on the course and filled the desire  information and click to the submit button (one by  one)",,
How can I see my semester  result?,"Login to your student portal first 


Go to the semester result 


Give your student ID and select your semester 


Click to the show result",,
How much I have the previous  dues?,"Login to the student portal first 


Go to the payment ledger option 


Check your payable amount by selecting the  semester 


Select your previous semester payment then you  can see your last semester dues amount",,
How can I recover my email  password?,"Go to the accounts section 


Deposit amount of taka 20 (twenty) 


Come to the department and department will take  necessary for providing your email password",,
How much I need to pay in my  Midterm or Final Exam  Improvement?,"First of all, you need to know the theoretical or  practical course tuition fees for each credit 


In case of Midterm Improvement exam you  need to pay 40% of your tuition fees of the course  (i.e. if 3 credit course and tuition fees for the course  is 1800 then you should pay 3X1800X40% = 2160  taka) 


In case of Final Improvement exam you need to  pay 60% of your tuition fees of the course (i.e. if 3  credit course and tuition fees for the course is 1800  then you should pay 3X1800X60% = 3240 taka)",,
How can I get a concern  letter?,"Go to the accounts section 


Deposit amount of taka 50 (fifty) 


Come to the department and department will take  necessary for providing your concern letter",,
How can I get a rough  transcript?,"Go to the accounts section 


Deposit amount of taka 50 (fifty) 


Go to the Examination Control office and apply  for the rap transcript by providing your information  as required",,
Why you study Entrepreneurship?,Why you study Entrepreneurship?,,
How do I complete course registration in the semester? (For new Students),"Collect your account clearance by paying the registration fees/Admission fees in the Accounts Section.


Submit the filled up StudentInsurance Form (given during the admission) and the account clearanceto the Coordination Officer of the Department Office.


When the registration is done by the department Office, you have to check the student portal to confirm your registration.




(
http://studentportal.diu.edu.bd/login
).",,
How can I resolve result block?,"Clear your previous dues


Contact with Registrar Office/Exam Office for resolving of blocked result.",,
How I can extend registration duration for more than six years?,Submit an application (describing the reason) to the Registrar through Head and Dean. A draft transcript need to be attached with the application.,,
How to take extra courses in a semester?,Students may apply to the Dean through Head of the departmentdescribing the name and credits of courses to be taken.,,
I have already dropped three or more semesters (without informing). Now I want to continue my study.,Please follow the instructions of re-admission given in the notice board and contact to the department office.,,
What can I do for registration when the registration date is over?,Please follow the instructions given in the notice board and contact to the department office for further help.,,
I am a student of previous syllabus. Shall I do my registration with previous course code or I will register with new course code?,Student of previous syllabus can do registration with previous syllabus with an application to the Head of the department.,,
What can I do to drop my semester? (after registration),"Write an application (describing specific reason) to the Dean through Head of the Department within 2 weeks of the last date of registration.


If Head and Dean approve, then you need to submit the copy of the approval to the Registrar Office for final approval.


One week later you need to check the student portal and/or contact the department office to confirm the semester drop.",,
What can I do to drop the semester? (before registration),"In case of specific reason, if you could not pay your registration fees and did not complete the registration, then you must drop the semester in the student portal.",,
How can I Change/ Add/Drop course after the registration?,"After the registration, you may be able to Change/Add/Drop any course within 7 days after the last date of the registration. Contact your batch coordinator.",,
How can I complete my course registration in the semester? (For existing students),"Collect your account clearance by paying the registration fees in the Accounts Section.


Submit it (keep a photocopy) to the batch coordinator in your department. He/she will complete your course registration as per the rule.


After the completion, you have to check the student portal to confirm the completion of course registration.",,
what is the deadlines for applying at DIU ?,Pls follow the deadlines url (Click Here),,
What are the tuition fees of Daffodil International University for study,"For local Students
For International Students",,
How can I remove result block?,Clear your previous dues and contact with Registrar Office/Exam Office for removal of block result.,,
Is there any eligibility to attend the final Improvement Exam?,Students those who got “Grade B” or less may apply for improvement as per the deadline of department. Please see the departmental notice board or online notice board.,,
What is the minimum CGPA to get the certificate?,The minimum CGPA is 2.50 to get your degree certificate.,,
Do I have to attend a minimum number of classes to attend the examinations?,Minimum of 60% of the classes you must attend.,,
I have two exams in same time slot. Can I attend the improvement of the missed exam without fee?,You can attend the improvement exam without fee in case of overlapping of exams.,,
How can I get the cumulative results (CGPA) of all the courses that I have completed?,"To collect draft transcript only before completion of all courses, you need to pay Tk.50/- to Accounts Section.


Go to the exam section and fill out the application form for draft transcript.


Collect your transcript when it is ready.",,
How can I get my semester results from website?,"Browse DIU website to find the option of ‘Virtual University’. Click &enter your ID in the Academic Result box.When you press enter, your results will be displayed.",,
How can I select a Supervisor for internship?,Contact your Head of the Department who will assign your supervisor for internship & thesis.,,
How can I sit in the improvement exam?,"Collect the Form of improvement exam from the department office and fill up the Form.


Pay required fees for improvement exam in the accounts section and get the clearance.


Then you submit the form to the department office. The department office will send the form to the relevant teacher.",,
What is the fees of improvement exam?,The student has to pay 40% of the course fees to attend the mid-term improvement exam and 60% of the course fees for the finalexam improvement.,,
How can I get my admit card for Mid Term and Final Exams?,Pay your instalment (fees) and collect your exam clearance/admit card showing the money receipt from the Accounts Section. You need to preserve the exam clearance/admit card for sitting the exam.,,
How can I complete my course registration in the semester (for existing students),"At first, you have to collect your online clearance from the Account Section by paying fees of registration then contact your batch advisor. He/ she will complete your course registration as per the rule. After the completion you have to check your student portal to be sure about the course registration.",,
How can I change/add/ drop subject after the registration in the semester?,"After the registration, you may be able to change/ add/ drop your subject within 7 days after the last date of the registration. To change/add/drop your subject you have to contact your batch advisor for further procedure.",,
How I will get a concern letter/ MoI/ LoR/ Testimonial and etc. (For running students),You have to pay TK. 50 to Accounts section or pay through online. Write your father’s and mother’s name backside of the money receipt.Then submit an application to Head of the Department. Attach the money receipt along with the application within 2 working days.,,
"How I will get a Concern Letter, MoI, LoR, Testimonial, Migration Certificate and etc. (For alumni)","You have to pay TK. 50 through online. Apply through student portal. 
http://studentportal.diu.edu.bd/#/login 


For any query, pls mail at: registraroffice2@daffodilvarsity.edu.bd",,
How can I withdraw academic transcripts/ certificate?,"Pay your required fees to the DIU accounts section or pay through online. Apply through student portal. 
http://studentportal.diu.edu.bd/#/login",,
When I will be allowed for provisional certificate?,"After the completion of all required credits for the degree, you will be allowed for provisional certificate until the subsequent convocation ceremony.",,
How I get Internship letter?,"You must complete all courses to start internship while maintaining at least CGPA of 2.50.


Collect internship form from the department office. Fill up the form and get the required signatures.


Pay fees and take Accounts clearance


Submit the form to department office together with clearance receipt.",,
How can I login the google classroom?,First download the classroom apps from the google play store. Install the app to your mobile. Login by providing your g-mail ID and password.,,
Where can I find information about insurance?,"Contact to the office of the Director of Finance and Accounts


Cell No: +8801847334799,  Email: treasureroffice@daffodilvarsity.edu.bd",,
Can I meet with my course teacher other than class period?,"Yes, you can meet with your teacher during the counseling hours.",,
How to check payment ledger from student portal?,Login to student portal and click “payment” option for student payment ledger and payment scheme.,,
What is the process of teaching evaluation?,"Login to student portal and update your profile. After that, fill the teaching evaluation form and submit it.",,
How can I find the contact numbers of a teacher/officer?,"Visit the following link of DIU website
Officers: 
https://daffodilvarsity.edu.bd/administration


Teachers: 
http://faculty.daffodilvarsity.edu.bd/",,
How I can join in International Summer Programs?,Please contact International Affairs Office,,
What can I do to drop the semester? (before registration),"In case of specific reason, if you could not pay your registration fees and did not complete the registration, then you must drop the semester in the student portal.",,
How I can transfer credit with a foreign university?,Please contact International Affairs Office,,
What are the requirements to get Laptop from university?,You have to complete at least 4 semesterssuccessfully with SGPA 2.5 and payment should be clear up to the last semester.,,
How to solve Multimedia/ IT related Problem?,Contact department office.,,
How can I solve the Email password problem?,Contact department office.,,
How can I change Department/Program?,Collect the Department Change Form from Registrar Office. Fill-up and collect sign from respective Deans and Heads.Clear all dues and submit the form to Registrar Office for approval.,,
How may I get scholarship from foreign university?,Call for Applications for different scholarship opportunities are regularly posted in the Notice Board and social media Pages of DIU International Affairs. See the regular updates and check your student e-mail. Contact with the officials of the office of the DIU International Affairs for further information and clarifications.,,
How may I reserve class room for extra class?,Come to the department office and contact with coordination officer for booking class room.,,
How much do we need to pay in second (before mid-term) and third (before final) installment?,"You have already paid the registration fees in the beginning of the semester.  Now, multiply the 
no of credits
 you have registered in current semester with 
per credit tuition fees
 for your program. The result is the total amount you have to pay in two equal parts in the time of mid-term and final exams respectively. 


You can also askthe respective officers of the Account Section and/or you can check the Ledger inthe Students’ Portal.",,
When is the payment date?,The date of payment will be notified through online notice board and through the mail.,,
Where can I get my scholarship/waiver information?,You can get your scholarship/waiver information from the Registrar Office.,,
I have lost my ID card. What can I do now?,"At first, you have to go to the Police Station to do a General Dairy (GD). Submit the photocopy of the GD to the Admission Section. The Admission Section will give you the further instructions.",,
How can I get my class routine of the semester?,"You can find your class routine in the departmental notice board, online notice board and in your email.",,
I cannot login in the student portal. How can I get access to the student portal?,The detailed information regarding the reset option of student portal password is given in the notice board of the department. Please follow the instructions.,,
How can I solve the Email password problem?,You need to pay Tk20/- to Account section and fill-up the register book from the department office for specific problem.Department office will send an e-mail to IT section to solve the problem and then inform you the solution.,,
How can I get my email password? (For new students),You can get your email ID and password from the online notice board and the departmental notice board.,,
Do you have any waiver facilities?,"Yes we do. Please visit this link for details: 
https://daffodilvarsity.edu.bd/scholarship",,
How can I login to my student mail account?,"a) Go to the gmail account (first time from pc)
b) Put your mail address and password
c) Accept the all terms and condition of gmail
d) Then login",,
How much I need to pay in my Midterm or Final examination?,"a) Login to your student portal first
b) Go to the payment ledger option
c) Check your payable amount
d) Pay half of the amount showing in the payable in your Midterm or Final Exam",,
How can I complete my Teaching Evaluation?,"a) Login to your student portal first
b) Go to the Teaching Evaluation option
c) Select the semester
d) Click on the course and filled the desire information and click to the submit button (one by one)",,
How can I see my semester result?,"a) Login to your student portal first
b) Go to the semester result
c) Give your student ID and select your semester
d) Click to the show result",,
How much I have the previous dues?,"a) Login to the student portal first
b) Go to the payment ledger option
c) Check your payable amount by selecting the semester
d) Select your previous semester payment then you can see your last semester dues amount",,
What can I do to drop the semester? (Before Registration),"In case for specific reason, if you could not pay your registration fees and did not complete the registration, then you must drop the semester in the student portal",,
What about the courses of previous syllabus? Do I register myself with previous code as I am a student of previous syllabus?,Students can do registration with previous syllabus with an application to the Head of the department.,,
What can I do to drop my semester? (After Registration),"In case after the registration, if you need to drop the semester, you have to write an application for approval and submit to the department office. The signed application must be submitted to the Dean Office within 2 weeks of the last date of registration. After the approval of the Dean, you need to submit it to the Registrar Office for final approval. One week later you need to check the student portal and contact to the department office to be sure about the semester drop.",,
What can I do for registration when the registration date is over?,The late registration process is given on the notice board. Please follow the instructions and contact the department office for further help.,,
I have already dropped three or more semesters (without informing). Now I want to continue my study.,Please follow the instructions of re-admission given in the notice board and contact to the department office.,,
I want to take extra courses next semester?,Students may apply to the Dean through Head of the department.,,
How can I complete my course registration in the semester? (For existing students).,"At first, you have to collect your account clearance from the Account Section by paying fees of registration and then you have to submit it (Keep a photocopy) to your batch coordinator. He/she will complete your course registration as per the rule. After the completion, you have to check the student portal to be sure about the course registration.",,
How can I Change/ Add/Drop subject after the registration in the semester?,"After the registration, you may be able to Change/Add/Drop your subject within 7 days after the last date of the registration. To Change/Add/Drop your subject, you must meet your batch coordinator. He/she will help to complete the work.",,
What can I do to drop the semester? (Before Registration),"In case for specific reason, if you could not pay your registration fees and did not complete the registration, then you must drop the semester in the student portal.",,
What about the courses of previous syllabus? Do I register myself with previous code as I am a student of previous syllabus?,Students can do registration with previous syllabus with an application to the Head of the department.,,
What can I do to drop my semester? (After Registration),"In case after the registration, if you need to drop the semester, you have to write an application for approval and submit to the department office. The signed application must be submitted to the Dean Office within 2 weeks of the last date of registration. After the approval of the Dean, you need to submit it to the Registrar Office for final approval. One week later you need to check the student portal and contact to the department office to be sure about the semester drop.",,
What can I do for registration when the registration date is over?,The late registration process is given in the notice board. Please follow the instructions and contact to the department office for further help.,,
How I can extend registration duration for more than six years?,"Please submit your written application to the Registrar (along with partial transcript), DIU through Dean and Head of the Department for time extension",,
I have already dropped three or more semesters (without informing). Now I want to continue my study.,Please follow the instructions of re-admission given in the notice board and contact to the department office.,,
I want to take extra courses next semester?,Students may apply to the Dean through Head of the department.,,
When the courses will be offered for (Spring /Fall) this semester?,The department office will publish the courses offer through email and notice board. Follow the notice board. (online / department notice board).,,
How can I recover my email password?,"a) Go to the accounts section
b) Deposit amount of taka 20 (twenty)
c) Come to the department and department will take necessary for providing your email password",,
How I can extend registration duration for more than six years?,"Please submit your written application to the Registrar (along with partial transcript), DIU through Dean and Head of the Department for time extension.",,
How can I get a concern letter?,"a) Go to the accounts section 
b) Deposit amount of taka 50 (fifty) 
c) Come to the department and department will take necessary for providing your concern letter",,
When the courses will be offered for (Spring /Fall) this semester?,Department office will publish the courses offer through email and notice board. Follow the notice board. (online / department notice board).,,
How can I get a rap transcript?,"a) Go to the accounts section
b) Deposit amount of taka 50 (fifty)
c) Go to the Examination Control office and apply for the rap transcript by providing your information as required",,
I want to register one course with day/evening program due to some problem. Is it allowed to take?,Students can do that but have to write an application to the head of the Department. If Dean approves then it is allowed.,,
I want to register one course with day/evening program due to some problem. Is it allowed to take?,Students can do that but have to write an application to the head of the Department. If Dean approves then it is allowed.,,
What is the process of doing duel-major?,If the student wants to do duel-major he has to communicate with the mentor or department office. The office will provide a guideline for the student which he will follow during the rest of the semesters.,,
What is the process of doing duel-major?,If the student wants to do duel-major he has to communicate with the mentor or department office. The office will provide a guideline for the student which he will follow during the rest of the semesters.,,
How can I apply for the financial aid/waiver/poor fund?,"a) Go to the accounts section
b) Deposit amount of taka 100 (one hundred)
c) Go to the Registrar office and ask them for prescribed form for apply
d) Fill the form properly and submit the filled form to the Registrar office accordingly",,
How can I update my profile in student portal?,"a) Login to the student portal
b) Go to the profile and you can see an option of “ Edit Profile”
c) Click edit profile and input your all necessary information (specially contact number and local guardian information)
d) After given all information update the profile",,
How can I get my admit card or exam clearance?,"To get your exam clearance, you ought to pay your exam fees in Account Section following the scheduled date and the Account Section will generate your exam clearance. You need to preserve the clearance for the exam.",,
How can I login in the google classroom?,"a) First download the class room apps from the google play store
b) Install the app to your mobile
c) Login by providing your email and password",,
How can I select Supervisor for internship?,Contact your Head who will assign your supervisor for internship & thesis.,,
How can I get my admit card or exam clearance?,"To get your exam clearance, you ought to pay your exam fees in Account Section following the schedule date and the Account Section will generate your exam clearance. You need to preserve the clearance for the exam.",,
How can I apply for an international scholarship?,"a) Check your student mail regularly
b) If there is any international scholarship opportunity you can see and also the application criteria
c) Contact with office of the Director International Affairs’ of DIU for details",,
How can I get my result from website?,"First, browse the DIU website then follow the right side where there is an option for virtual university & then click on & put your ID on the Academic Result option.",,
How can I select Supervisor for internship?,Department assign a supervisor when the course is offered.,,
How can I get my result from website?,At first browse DIU website then follow the right side where there is an option of virtual university & then click on & put your ID on Academic Result option.,,
How can I get the total result of the courses that I have completed?,Please apply transcript through online with pay 50 taka and go to the exam section and collect your transcript as per deadline.,,
How can I get a Recommendation letter?,"a) Go to the accounts section
b) Deposit amount of taka 50 (fifty)
c) Come to the department and department will take necessary for providing your Recommendation letter",,
What the eligibility is for not appeared in the Improvement Exam?,a) Students those who got “Grade B” or less may apply for improvement,,
I have two exams in same slot. Can I attend the make-up exam without fee?,You can attend the make-up exam without fee in case of overlapping of exam.,,
How can I drop my semester? (Temporary Drop),"a) Login to the student portal
b) Go to the semester option
c) Click to the semester drop and select a reason for which you want to drop your semester (i.e. Sickness, Financial Problem or others) and click drop semester option.",,
Do I have to attend minimum classes to attend the examinations?,Minimum 60% Classes you have to attend,,
What is the procedure to take an additional courses? (extra course),"a) For taking an addition course, your CGPA must be 3.50 or above
b) You need to give an application to the Head of the department
c) If Department Head approve your application then you will get the additional course.",,
How can I get the total result of the courses that I have completed?,Please apply transcript through online with pay 50 taka and go to the exam section and collect your transcript as per deadline.,,
What is the minimum CGPA to get the certificate?,The minimum CGPA is 2.50 to get the certificate.,,
How can I drop a course? (Course of Current Semester),"a) Write an application to the Registrar through Head of the dept. & Advisor 
b) After getting the approval, you have to submit it to the coordination officer
c) Coordination officer will take necessary steps",,
I have two exams in same slot. Can I attend the make-up exam without fee?,You can attend the make-up exam without fee in case of overlapping of exam.,,
Are there any transport facilities for the ICE program?,"Yes, DIU have around 50 + buses which are exclusively used for our students/faculty/admin personnel and staff. All the transports are moving for the students on different routes and campuses from Ashulia Campus. Students just need to present their ID card for getting this facility.  To know more  Click Here",,
Are there any waiver facilities for the ICE program?,"Yes, DIU offers waiver and scholarship in various categories on the basis of result and conditions. Providing poor and meritorious students financial support, strengthening student’s capacity and giving inspiration to their effort to complete higher education uninterruptedly are the main objectives of financial aid and scholarship program of DIU. Yearly Daffodil International University provides waiver and scholarship opportunities to 20,079 students. In Corona Epidemic situation Daffodil International University also provided Special Waiver to support students to continue their study. Click Here",,
Do I have to attend minimum classes to attend the examinations?,Minimum 60% Classes you have to attend.,,
How do I complete course registration in the semester? (For new Students),"At first you have to collect your account clearance by paying the registration fees in Account Section and then you have to come department office along with your filled up Student Insurance Form (given during the Admission). Then you have to submit your account clearance form and insurance form in department office to complete your registration. After the registration, you have to check the student portal (http://studentportal.diu.edu.bd/login) to be sure about your registration.",,
Who is my advisor?,"To know your advisor information, Please contact ICE Office",,
ICE Contact number?,E-mail: eteoffice@daffodilvarsity.edu.bd; Mbile: +8801811458828,,
What is the minimum CGPA to get the certificate?,The minimum CGPA is 2.50 to get the certificate.,,
Advisor contact number?,Please contact ICE Office,,
How much credit does the ICE program have in total?,Total 145 credits need to end the ICE program,,
How can I remove result block?,Clear your previous dues and contact with Registrar Office/Exam Office for removal of block result.,,
How can I remove result block?,Clear your previous dues and contact with Registrar Office/Exam Office for removal of block result.,,
How much will it cost to complete the ICE program?,"6,20,500/-",,
Can I be admitted online?,"Yes, You can. Please Click on the Link to be admitted online?",,
Are there any hostel facilities for the ICE program?,"Yea, DIU Provides hall facilities for both male and female students separately in Dhanmondi and Ashulia, Dhaka. To know more Click Here",,
What is the contact information of ICE office?,"""Coordination Office
Mobile: +8801811458828
E-mail: eteoffice@daffodilvarsity.edu.bd""",,
How many labs does ICE department have?,"""There are Five labs in ICE department. They are 
1. Microprocessor and Interfacing
2. Communication Lab
3. Circuit Lab
4. Computer Lab
5. Research Lab""",,
When does the semester begin?,January to June and July to December,,
How many semesters will it take to complete the ICE program?,Eight semester,,
How many years will it take to complete the ICE program?,Four years,,
"How I can take Concern, MoI, LoR, Testimonial, Migration Certificate etc.",Pay 50 taka to DIU accounts and submit the application to the department with a transcript and collect the documents from your department.,,
"How I can take Concern, MoI, LoR, Testimonial, Migration Certificate etc.",Pay 50 taka to DIU accounts and submit the application to the department with transcript and collect the documents from your department.,,
How can I get Internship letter?,"You must complete all theoretical subjects to start internship.


Maintain at least CGPA 2.5


Take internship form from Department office


Fill up the form which will be signed by the respective supervisor.


Pay fees and take Accounts clearance


Submit to the department office",,
Where is the location to admit to the ICE program?,"Daffodil Smart City, Birulia, Savar, Dhaka - 1216 or you can Apply from online",,
When I will be allowed for provisional certificate?,When you will complete all required credits for the degree but not to attend at convocation then you will be allowed for provisional certificate.,,
How can I withdraw academic transcripts/ certificate?,Please apply online and go to the exam section and collect your transcript and certificate as per the deadline after paying the required fees.,,
How I get Internship letter?,"You must complete ARCH-304 Design Studio - VI: Form, Function & Technology to start internship. Maintain at least CGPA 2.5. Take internship form from Department office. Fill up the form which will be signed by respective supervisor. Submit to the firm.",,
When I will be allowed for provisional certificate?,When you will complete all required credits for the degree but not to attend at convocation then you will be allowed for provisional certificate.,,
How can I withdraw academic transcripts/ certificate?,Please apply through online and go to the exam section and collect your transcript and certificate as per deadline after paying required fees.,,
How can I get my email password? (For new students),You can get your email ID and password from the online notice board and the departmental notice board.,,
How can I solve the Email password problem?,You need to pay =20/- to the account section and fill in the register book from the department office for specific problems. Or you may apply through DIU helpdesk.,,
I cannot login in the student portal. How can I get access to the student portal?,You may reset the password as per forgot password option.,,
How can I get my class routine of the semester?,"You can find your class routine in the notice board and, also in the online notice board and in your email.",,
I have lost my ID card. What can I do now?,"At first, you have to go to the Police Station to do a General Dairy (GD). After getting the GD paper, you have to submit it to the Admission Section. The Admission Section will give you further instructions for getting an ID card.",,
Where can I get my scholarship/waiver information?,"You can get your scholarship/waiver information in the scholarship/waiver section.


Cell No.: +8801811458843


Email: panna@daffodilvarsity.edu.bd


 


Cell No.: +8801811458848


Email: scholarship1@daffodilvarsity.edu.bd",,
When is the payment date?,Students will be notified of the date of payment by online notice board/offline notice board and also by email.,,
What is the installment amount?,"The student has to pay the fee in two installments after registration 1
st
 installments must be paid before mid-term and the rest before the final.",,
How may I reserve class room for extra class?,Come to the department office and contact with coordination officer for booking a class room.,,
How may I solve DIU portal problem?,You will come to the department office and contact with coordination officer.,,
How may I get scholarship from foreign university?,Keep updating yourself on International Affairs’ notice board and DIU e-mail. Keep in touch with DIU International Affairs.,,
How can I get my email password? (For new students),You can get your email ID and password from the online notice board and the departmental notice board.,,
How can I solve the Email password problem?,You need to pay =20/- to account section and fill the register book from the department office for specific problem. Or you may apply through DIU helpdesk.,,
I cannot login in the student portal. How can I get access to the student portal?,You may reset the password as per forgot password option.,,
How can I get my class routine of the semester?,"You can find your class routine in the notice board and, also in the online notice board and in your email.",,
How can I change Department?,Collect a form from Registrar's Office. Fill up and collect signs from Dean and Department Head. Clear all dues and submit to Registrar's Office.,,
I have lost my ID card. What can I do now?,"At first, you have to go to the Police Station to do a General Dairy (GD). After getting the GD Paper, you have to pay 300 taka at DIU accounts then contact with one card office along with your GD copy, money recipet and one PP Size photo.",,
Where can I get my scholarship/waiver information?,"You can get your scholarship/waiver information in scholarship/waiver section. Cell No.: +8801811458843, Email: panna@daffodilvarsity.edu.bd, Cell No.: +8801811458848, Email: scholarship1@daffodilvarsity.edu.bd",,
How can I change section of courses,You have to submit application through Head of the Department-to-Department Office.,,
When is the payment date?,Student will be notified the date of payment by online notice board/offline notice board and also by the email.,,
How to solve Multimedia/ IT related Problem.,Contact with department office.,,
What is the installment amount?,The student has to pay the fee in two installments after registration 1st installments must be paid before mid-term and the rest before the final.,,
What is the requirement to get a laptop?,You have to complete a minimum of 16 courses and 49 credits successfully with an SGPA of 2.5 and payment should be clear up to the last semester.,,
How may I reserve class room for extra class?,Come to department office and contact with coordination officer for booking class room.,,
How I may solve DIU portal problem?,You will come to the department office and contact with coordination officer.,,
How I can transfer credit with a foreign university or interested to join in summer program?,"Please contact International Affairs Office at AB-4, Ground Floor.",,
How may I get scholarship from foreign university?,Keep update yourself on International Affairs’ notice board and DIU e-mail. Keep in touch with DIU International Affairs.,,
How can I teacher/officer number.,"Visit the DIU website for Officer: 


https://daffodilvarsity.edu.bd/page/admin_page_detail/top-management


For teachers:  
http://faculty.daffodilvarsity.edu.bd/",,
How can I change Department?,Collect a form from Admission Office. Fill-up and collect sign from Dean and Department Head. Clear all dues and submit to Registrar Office.,,
How can I change section of courses?,You have to submit application through Head of the Department-to-Department Office.,,
What is the process of teaching evaluation?,Log in to the student portal and update the profile. After that fill out the evaluation form and submit it. If need any help contact the admission office.,,
How to solve Multimedia/ IT related Problem?,Contact with department office.,,
How to check payment ledger from student portal?,Log in to the student portal and click the “payment” option for the student payment ledger and payment scheme.,,
Can I meet with my course teacher other than class period?,You can contact with your teacher during counseling periods.,,
Where can I find information about insurance?,"Cell No.:
 +8801847334799


Email: zonad.accounts@daffodilvarsity.edu.bd",,
What is the requirement to get a laptop?,You have to complete minimum 15 courses 36 credits successfully with SGPA 2.5 and payment should be clear up to the last semester.,,
How can I get BLC related service?,"Contact to Department office or Visit: 
https://sites.google.com/daffodilvarsity.edu.bd/diu-blc-student-guideline/guideline-for-diu-blc-moodle-students?pli=1


Cell No.: +8801847027540


Email: blc1@daffodilvarsity.edu.bd",,
How I can transfer credit with a foreign university or interested to join in summer program?,"Please contact International Affairs Office at AB-4, Ground Floor.",,
How can I get the information of DIU Transportation?,"Visit the link: 
https://daffodilvarsity.edu.bd/article/transport
 or


https://docs.google.com/spreadsheets/d/15xUoX4BVci54TIkHp_AzSnj54CPYvCDMcPf_zs8R_qs/edit#gid=796622161


For more quires Contact:


Cell No.: +8801847140037


Email: anisur@daffodilvarsity.edu.bd",,
How can I get a waiver as a new student?,"New students can enjoy our offered waiver like result based, need based, relationship quota, freedom fighter quota, tribal quota, disablity quota & talent hunt scholarship",,
Am I eligible to get a waiver?,"Result with 4.50 (for Social Science),4.71 (for Business), 4.80 (for all faculty) for male & 4.00 for female in HSC can get a waiver.",,
How can I teacher/officer number.,Visit DIU website for Officer: https://daffodilvarsity.edu.bd/page/admin_page_detail/top-management. For teachers: http://faculty.daffodilvarsity.edu.bd/,,
How many waivers can I enjoy?,One students is eligible to get waiver maximum in one category. If eligible for more than one then highest percentage.is provided.,,
Who qualifies for a waiver?,"We offer waiver on the basis of HSC (or equivalent) result. Students having result with 4.50 (for Social Science),4.71 (for Business), 4.80 (for all faculty) for male & 4.00 for female in HSC can get a waiver.",,
What is the process of teaching evaluation?,Log in to student portal and update the profile. After that fill the evaluation form and submit it. If needed any help contact with admission office.,,
What is the waiver for both GPA Golden 5?,75% and student must maintain semester result 3.50,,
What is the waiver for Golden 5 in HSC?,50% and student must maintain semester result 3.25,,
How to check payment ledger from student portal?,Log in to student portal and click “payment” option for student payment ledger and payment scheme.,,
What is the waiver for both GPA 5?,35% and student must maintain semester result 3.25,,
Can I meet with my course teacher other than class period?,You can contact with your teacher during counseling periods.,,
What is the waiver for 5 in HSC?,25% and student must maintain semester result 3.00,,
Do you provide waiver for below GPA 5.00 in HSC,"Yes, faculty wise DIU provides different waiver schemes for below GPA 5.00 in HSC . for details please visit the link: 
https://daffodilvarsity.edu.bd/scholarship",,
Where can I find information about insurance?,Cell No.: +8801847334799. Email: zonad.accounts@daffodilvarsity.edu.bd,,
